text,url,source_url
Mazinger Z,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MazingerZ,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Tengen Toppa Gurren Lagann,https://tvtropes.org/pmwiki/pmwiki.php/Anime/TengenToppaGurrenLagann,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Puella Magi Madoka Magica,https://tvtropes.org/pmwiki/pmwiki.php/Anime/PuellaMagiMadokaMagica,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Dragon Ball,https://tvtropes.org/pmwiki/pmwiki.php/Manga/DragonBall,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Undefeated Bahamut Chronicle,https://tvtropes.org/pmwiki/pmwiki.php/Literature/UndefeatedBahamutChronicle,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
The Giver,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheGiver,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
John Carter of Mars,https://tvtropes.org/pmwiki/pmwiki.php/Literature/JohnCarterOfMars,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
The Machineries of Empire,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheMachineriesOfEmpire,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Redshirts,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Redshirts,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
The Space Trilogy,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheSpaceTrilogy,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Out of the Silent Planet,https://tvtropes.org/pmwiki/pmwiki.php/Literature/OutOfTheSilentPlanet,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Perelandra,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Perelandra,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
That Hideous Strength,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ThatHideousStrength,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Homestuck,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/Homestuck,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Ellie on Planet X,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/EllieOnPlanetX,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
To Boldly Flee,https://tvtropes.org/pmwiki/pmwiki.php/WebVideo/ToBoldlyFlee,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
SCP Foundation,https://tvtropes.org/pmwiki/pmwiki.php/Website/SCPFoundation,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
BZPower,https://tvtropes.org/pmwiki/pmwiki.php/Website/BZPower,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Scott Manley,https://tvtropes.org/pmwiki/pmwiki.php/LetsPlay/ScottManley,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Futurama,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/Futurama,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Cloudy with a Chance of Meatballs,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/CloudyWithAChanceOfMeatballs,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Phineas and Ferb,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/PhineasAndFerb,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
"Warhammer 40,000",https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Warhammer40000,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Metamorphosis Alpha,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/MetamorphosisAlpha,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Dungeons & Dragons,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/DungeonsAndDragons,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Gamma World,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/GammaWorld,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Mystery Science Theater 3000,https://tvtropes.org/pmwiki/pmwiki.php/Series/MysteryScienceTheater3000,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Kamen Rider Drive,https://tvtropes.org/pmwiki/pmwiki.php/Series/KamenRiderDrive,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Battlestar Galactica,https://tvtropes.org/pmwiki/pmwiki.php/Series/BattlestarGalactica1978,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Doctor Who,https://tvtropes.org/pmwiki/pmwiki.php/Series/DoctorWho,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
MST3K,https://tvtropes.org/pmwiki/pmwiki.php/Series/MysteryScienceTheater3000,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
MST3K,https://tvtropes.org/pmwiki/pmwiki.php/Series/MysteryScienceTheater3000,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/PinballQuest,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Super Mario Galaxy,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/SuperMarioGalaxy,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Super Mario Galaxy 2,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/SuperMarioGalaxy2,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Age of Wonders: Planetfall,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/AgeOfWondersPlanetfall,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
BIONICLE,https://tvtropes.org/pmwiki/pmwiki.php/Toys/Bionicle,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/ScienceInGenreOnly
Macross,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Macross,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
Neon Genesis Evangelion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/NeonGenesisEvangelion,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
Neon Genesis Evangelion,https://tvtropes.org/pmwiki/pmwiki.php/Anime/NeonGenesisEvangelion,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
Outlanders,https://tvtropes.org/pmwiki/pmwiki.php/Manga/Outlanders,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
,https://tvtropes.org/pmwiki/pmwiki.php/Literature/MartinBeck,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
Celestial Matters,https://tvtropes.org/pmwiki/pmwiki.php/Literature/CelestialMatters,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
Skylark of Space,https://tvtropes.org/pmwiki/pmwiki.php/Literature/SkylarkSeries,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
Foundation Series,https://tvtropes.org/pmwiki/pmwiki.php/Literature/FoundationSeries,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Animorphs,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
Orion: First Encounter,https://tvtropes.org/pmwiki/pmwiki.php/Literature/OrionFirstEncounter,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
Lensman,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Lensman,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
A Miracle of Science,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/AMiracleOfScience,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
El Goonish Shive,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/ElGoonishShive,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
Rick and Morty,https://tvtropes.org/pmwiki/pmwiki.php/WesternAnimation/RickAndMorty,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
Rocket Age,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/RocketAge,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
Farscape,https://tvtropes.org/pmwiki/pmwiki.php/Series/Farscape,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
Star Trek: The Original Series,https://tvtropes.org/pmwiki/pmwiki.php/Series/StarTrekTheOriginalSeries,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
Star Trek: Voyager,https://tvtropes.org/pmwiki/pmwiki.php/Series/StarTrekVoyager,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
Halo,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Halo,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
StarCraft,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/StarCraft,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
Zone of the Enders,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/ZoneOfTheEnders,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
Stellaris,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Stellaris,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
X-COM,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/XCom,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
its reboot,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/XComEnemyUnknown,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/WorldOfPhlebotinum
Divergence Eve,https://tvtropes.org/pmwiki/pmwiki.php/Anime/DivergenceEve,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Mobile Suit Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundam,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Mobile Suit Gundam 00,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileSuitGundam00,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Mobile Fighter G Gundam,https://tvtropes.org/pmwiki/pmwiki.php/Anime/MobileFighterGGundam,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Gunbuster,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Gunbuster,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Battle Angel Alita,https://tvtropes.org/pmwiki/pmwiki.php/Manga/BattleAngelAlita,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
The Five Star Stories,https://tvtropes.org/pmwiki/pmwiki.php/Manga/TheFiveStarStories,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Dirty Pair,https://tvtropes.org/pmwiki/pmwiki.php/Literature/DirtyPair,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Uplift,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Uplift,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
The Pentagon War,https://tvtropes.org/pmwiki/pmwiki.php/Literature/ThePentagonWar,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Starship Troopers,https://tvtropes.org/pmwiki/pmwiki.php/Literature/StarshipTroopers,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Whateley Universe,https://tvtropes.org/pmwiki/pmwiki.php/Literature/WhateleyUniverse,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Fine Structure,https://tvtropes.org/pmwiki/pmwiki.php/Literature/FineStructure,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
First Contact Is Bad for You,https://tvtropes.org/pmwiki/pmwiki.php/Literature/FirstContactIsBadForYou,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Honor Harrington,https://tvtropes.org/pmwiki/pmwiki.php/Literature/HonorHarrington,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Simon Bloom,https://tvtropes.org/pmwiki/pmwiki.php/Literature/SimonBloom,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Lensman,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Lensman,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Skylark Series,https://tvtropes.org/pmwiki/pmwiki.php/Literature/SkylarkSeries,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Dune (2021),https://tvtropes.org/pmwiki/pmwiki.php/Film/Dune2021,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Interstellar,https://tvtropes.org/pmwiki/pmwiki.php/Film/Interstellar,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Schlock Mercenary,https://tvtropes.org/pmwiki/pmwiki.php/Webcomic/SchlockMercenary,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
,https://tvtropes.org/pmwiki/pmwiki.php/VisualNovel/TwelveRiven,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Battletech,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Battletech,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
GURPS Technomancer,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/GURPSTechnomancer,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Infinite Worlds,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/InfiniteWorlds,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Traveller,https://tvtropes.org/pmwiki/pmwiki.php/TabletopGame/Traveller,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Battlestar Galactica (2003),https://tvtropes.org/pmwiki/pmwiki.php/Series/BattlestarGalactica2003,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Star Trek: The Next Generation,https://tvtropes.org/pmwiki/pmwiki.php/Series/StarTrekTheNextGeneration,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Deep Space Nine,https://tvtropes.org/pmwiki/pmwiki.php/Series/StarTrekDeepSpaceNine,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Star Trek: The Original Series,https://tvtropes.org/pmwiki/pmwiki.php/Series/StarTrekTheOriginalSeries,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Andromeda,https://tvtropes.org/pmwiki/pmwiki.php/Series/Andromeda,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Blue Archive,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/BlueArchive,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Command & Conquer,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/CommandAndConquer,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Sword of the Stars,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/SwordOfTheStars,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Metal Gear,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/MetalGear,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Homeworld,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/Homeworld,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
FTL: Faster Than Light,https://tvtropes.org/pmwiki/pmwiki.php/VideoGame/FTLFasterThanLight,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/PhysicsPlus
Cowboy Bebop,https://tvtropes.org/pmwiki/pmwiki.php/Anime/CowboyBebop,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
Obsolete,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Obsolete,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
Patlabor,https://tvtropes.org/pmwiki/pmwiki.php/Anime/Patlabor,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
Kotoura-san,https://tvtropes.org/pmwiki/pmwiki.php/Manga/KotouraSan,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
Albedo: Erma Felna EDF,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/AlbedoErmaFelnaEDF,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
Watchmen,https://tvtropes.org/pmwiki/pmwiki.php/ComicBook/Watchmen,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
Against a Dark Background,https://tvtropes.org/pmwiki/pmwiki.php/Literature/AgainstADarkBackground,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
The Expanse,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheExpanse,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
Humanx Commonwealth,https://tvtropes.org/pmwiki/pmwiki.php/Literature/HumanxCommonwealth,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
Farnham's Freehold,https://tvtropes.org/pmwiki/pmwiki.php/Literature/FarnhamsFreehold,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
Ilivais X,https://tvtropes.org/pmwiki/pmwiki.php/Literature/IlivaisX,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
Orthogonal,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Orthogonal,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
Tempest: A Novel,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TempestANovel,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
The Caves of Steel,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheCavesOfSteel,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
Star Carrier,https://tvtropes.org/pmwiki/pmwiki.php/Literature/StarCarrier,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
Beggars in Spain,https://tvtropes.org/pmwiki/pmwiki.php/Literature/BeggarsInSpain,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
Jurassic Park,https://tvtropes.org/pmwiki/pmwiki.php/Literature/JurassicPark,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
The Andromeda Strain,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheAndromedaStrain,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
Sphere,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Sphere,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
Timeline,https://tvtropes.org/pmwiki/pmwiki.php/Literature/Timeline,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
The Witling,https://tvtropes.org/pmwiki/pmwiki.php/Literature/TheWitling,https://tvtropes.org/pmwiki/pmwiki.php/Mohs/OneBigLie
